Customer ID,Recency,Frequency,Monetary,AvgOrderValue,DaysBetweenPurchases,TopProduct,PeakMonth,Q4Share,WeekendRatio,Cluster
12346,326,1,77183.6,77183.6,53.0,MEDIUM CERAMIC TOP STORAGE JAR,1,0.0,0.0,0
12347,2,7,4310.0,615.7142857142857,60.333333333333336,AIRLINE BAG VINTAGE JET SET BROWN,10,0.489010989010989,0.0,0
12348,75,4,1797.24,449.31,94.0,POSTAGE,12,0.5483870967741935,0.0967741935483871,0
12349,19,1,1757.55,1757.55,53.0,PARISIENNE CURIO CABINET,11,1.0,0.0,0
12350,310,1,334.4,334.4,53.0,CHOCOLATE THIS WAY METAL SIGN,2,0.0,0.0,0
12352,36,8,2506.04,313.255,36.857142857142854,POSTAGE,9,0.17647058823529413,0.0,0
12353,204,1,89.0,89.0,53.0,CERAMIC CAKE STAND + HANGING CAKES,5,0.0,0.0,0
12354,232,1,1079.4,1079.4,53.0,JUMBO BAG ALPHABET,4,0.0,0.0,0
12355,214,1,459.4,459.4,53.0,GROW A FLYTRAP OR SUNFLOWER IN TIN,5,0.0,0.0,0
12356,23,3,2811.43,937.1433333333333,151.0,REGENCY CAKESTAND 3 TIER,1,0.03389830508474576,0.0,0
12357,33,1,6207.67,6207.67,53.0,PINK DOUGHNUT TRINKET POT ,11,1.0,1.0,0
12358,2,2,1168.06,584.03,149.0,CERAMIC STRAWBERRY DESIGN MUG,7,0.3684210526315789,0.0,0
12359,58,4,6310.03,1577.5075,91.0,REGENCY CAKESTAND 3 TIER,10,0.4163265306122449,0.0,0
12360,52,3,2662.06,887.3533333333334,74.0,DOLLY GIRL BABY GIFT SET,10,0.4186046511627907,0.0,0
12361,287,1,189.9,189.9,53.0,DOLLY GIRL LUNCH BOX,2,0.0,0.0,0
12362,3,10,5226.23,522.6229999999999,31.88888888888889,POSTAGE,10,0.4548872180451128,0.0,0
12363,110,2,552.0,276.0,132.0,DOORMAT RED RETROSPOT,4,0.0,0.0,0
12364,8,4,1313.1,328.275,34.333333333333336,POSTAGE,8,0.5764705882352941,0.25882352941176473,0
12365,291,2,641.38,320.69,0.0,PARTY CONES CANDY ASSORTED,2,0.0,0.0,0
12367,4,1,168.9,168.9,53.0,SET OF 6 3D KIT CARDS FOR KIDS,12,1.0,0.0,0
12370,51,4,3541.94,885.485,102.66666666666667,RED FLORAL FELTCRAFT SHOULDER BAG,12,0.7108433734939759,0.0,0
12371,45,2,1887.96,943.98,14.0,ASSORTED BOTTLE TOP  MAGNETS ,10,1.0,0.0,0
12372,72,3,1298.04,432.68,112.0,DOLLY GIRL LUNCH BOX,2,0.0,0.0,0
12373,311,1,364.6,364.6,53.0,JUMBO BAG OWLS,2,0.0,0.0,0
12374,25,1,742.9300000000001,742.9300000000001,53.0,GRAND CHOCOLATECANDLE,11,1.0,0.0,0
12375,11,2,457.5,228.75,87.0,JUMBO BAG PEARS,9,0.35294117647058826,0.0,0
12377,315,2,1628.12,814.06,39.0,MINI JIGSAW CIRCUS PARADE ,12,0.5584415584415584,0.0,0
12378,130,1,4008.62,4008.62,53.0,POPPY'S PLAYHOUSE BATHROOM,8,0.0,0.0,0
12379,82,2,852.24,426.12,88.0,POSTAGE,6,0.0,0.0,0
12380,22,4,2724.81,681.2025,54.0,POSTAGE,6,0.38461538461538464,0.0,0
12381,5,5,1845.31,369.062,28.25,POSTAGE,8,0.28735632183908044,0.1839080459770115,0
12383,185,5,1850.56,370.11199999999997,41.25,POSTAGE,12,0.37373737373737376,0.0,0
12384,29,2,585.27,292.635,92.0,POSTAGE,8,0.48148148148148145,0.0,0
12386,338,2,401.9,200.95,29.0,20 DOLLY PEGS RETROSPOT,12,0.8,0.0,0
12388,16,6,2780.66,463.4433333333333,61.8,PARTY BUNTING,7,0.08,0.22,0
12390,80,1,549.84,549.84,53.0,FELTCRAFT GIRL AMELIE KIT,9,0.0,0.0,0
12391,22,1,439.66,439.66,53.0,HEART CALCULATOR,11,1.0,0.0,0
12393,72,4,1582.6000000000001,395.65000000000003,86.33333333333333,LUNCH BAG WOODLAND,9,0.0,0.0,0
12394,64,2,1272.48,636.24,153.0,POSTAGE,5,0.2222222222222222,0.0,0
12395,19,12,3018.63,251.5525,31.454545454545453,POSTAGE,11,0.5833333333333334,0.09615384615384616,0
12397,36,2,2409.9,1204.95,99.0,ALARM CLOCK BAKELIKE GREEN,7,0.4444444444444444,0.0,0
12398,46,1,1635.6599999999999,1635.6599999999999,53.0,SET 6 FOOTBALL CELEBRATION CANDLES,10,1.0,0.0,0
12399,119,4,1108.65,277.1625,47.333333333333336,POSTAGE,5,0.0,0.0,0
12401,303,1,84.3,84.3,53.0,EDWARDIAN PARASOL BLACK,2,0.0,0.0,0
12402,323,1,225.6,225.6,53.0,JUMBO BAG WOODLAND ANIMALS,1,0.0,0.0,0
12403,50,1,427.7,427.7,53.0,CHILDRENS CUTLERY POLKADOT PINK,10,1.0,0.0,0
12405,149,1,1710.39,1710.39,53.0,TREASURE TIN GYMKHANA DESIGN,7,0.0,0.0,0
12406,22,2,3415.3,1707.65,161.0,OFFICE MUG WARMER POLKADOT,11,0.5333333333333333,0.0,0
12407,50,5,1708.1200000000001,341.624,53.0,POSTAGE,7,0.16883116883116883,0.19480519480519481,0
12408,33,5,2888.55,577.71,56.5,POSTAGE,3,0.21904761904761905,0.0,0
12409,79,3,11072.67,3690.89,51.5,SPOTTY BUNTING,6,0.0,0.0,0
12410,309,2,693.3299999999999,346.66499999999996,0.0,RED KITCHEN SCALES,2,0.0,0.0,0
12412,75,3,1226.88,408.96000000000004,46.5,POSTAGE,6,0.0,0.0,0
12413,67,3,758.1,252.70000000000002,134.5,JUMBO BAG RED RETROSPOT,1,0.2631578947368421,0.10526315789473684,0
12414,217,3,562.41,187.47,46.0,POSTAGE,2,0.0,0.0,0
12415,24,21,124914.53,5948.310952380953,15.947368421052632,ROSES REGENCY TEACUP AND SAUCER ,6,0.15966386554621848,0.0,1
12417,3,9,3649.1,405.4555555555555,43.75,POSTAGE,8,0.2864583333333333,0.11979166666666667,0
12418,113,1,668.58,668.58,53.0,MINI JIGSAW DINOSAUR ,8,0.0,0.0,0
12420,64,1,600.39,600.39,53.0,LOVE HEART TRINKET POT,10,1.0,0.0,0
12421,16,4,807.04,201.76,100.33333333333333,POSTAGE,6,0.2,0.3111111111111111,0
12422,96,3,803.5600000000001,267.85333333333335,114.0,LUNCH BAG CARS BLUE,6,0.0,0.0,0
12423,1,8,1859.31,232.41375,49.857142857142854,POSTAGE,12,0.264,0.0,0
12424,163,2,1760.96,880.48,53.0,PACK OF 6 HANDBAG GIFT BOXES,6,0.0,0.0,0
12425,78,1,777.2,777.2,53.0,STRAWBERRY CHARLOTTE BAG,9,0.0,0.0,0
12426,195,1,582.73,582.73,53.0,RED RETROSPOT PURSE ,5,0.0,1.0,0
12427,22,3,825.8,275.26666666666665,174.5,POSTAGE,10,1.0,0.0,0
12428,26,9,7956.46,884.0511111111111,31.875,POSTAGE,3,0.05102040816326531,0.034013605442176874,0
12429,9,4,3750.4,937.6,118.33333333333333,ALARM CLOCK BAKELIKE RED ,6,0.4845360824742268,0.0,0
12430,43,1,256.4,256.4,53.0,ZINC T-LIGHT HOLDER STARS SMALL,10,1.0,0.0,0
12431,36,15,6419.95,427.99666666666667,23.714285714285715,ALARM CLOCK BAKELIKE RED ,10,0.31196581196581197,0.1282051282051282,0
12432,43,5,5059.32,1011.8639999999999,32.0,AIRLINE BAG VINTAGE TOKYO 78,6,0.2962962962962963,0.0,0
12433,1,7,13375.87,1910.8385714285716,61.666666666666664,HOT WATER BOTTLE TEA AND SYMPATHY,12,0.8071428571428572,0.0,0
12434,85,2,806.14,403.07,175.0,ASSORTED COLOUR MINI CASES,9,0.0,0.0,0
12435,80,2,7829.89,3914.945,188.0,JUMBO BAG OWLS,3,0.0,0.0,0
12436,100,1,509.01,509.01,53.0,3 TRADITIONAl BISCUIT CUTTERS  SET,9,0.0,0.0,0
12437,2,18,4951.41,275.0783333333333,18.941176470588236,POSTAGE,11,0.4371859296482412,0.0,0
12438,14,2,2906.85,1453.425,125.0,PLASTERS IN TIN WOODLAND ANIMALS,7,0.5,0.0,0
12441,367,1,173.55,173.55,53.0,WRAP I LOVE LONDON ,12,1.0,0.0,0
12442,3,1,172.06,172.06,53.0,SET OF 36 PAISLEY FLOWER DOILIES,12,1.0,0.0,0
12444,21,5,5005.46,1001.092,37.25,BREAD BIN DINER STYLE IVORY,6,0.2897727272727273,0.0,0
12445,22,1,133.4,133.4,53.0,3 WHITE CHOC MORRIS BOXED CANDLES,11,1.0,0.0,0
12446,58,1,1002.3100000000001,1002.3100000000001,53.0,RED RETROSPOT CUP,10,1.0,0.0,0
12447,243,1,476.49,476.49,53.0,JUMBO BAG WOODLAND ANIMALS,4,0.0,1.0,0
12448,44,1,449.45,449.45,53.0,PLASTERS IN TIN VINTAGE PAISLEY ,10,1.0,0.0,0
12449,22,4,4067.29,1016.8225,54.333333333333336,RED KITCHEN SCALES,11,0.3089005235602094,0.2513089005235602,0
12450,156,2,197.88,98.94,17.0,LUNCH BAG DOILEY PATTERN ,6,0.0,0.75,0
12451,11,5,9035.52,1807.104,77.75,PLASTERS IN TIN SPACEBOY,1,0.4491525423728814,0.0,0
12452,17,2,430.57,215.285,0.0,POSTAGE,11,1.0,0.0,0
12453,134,1,707.09,707.09,53.0,PLASTERS IN TIN VINTAGE PAISLEY ,7,0.0,0.0,0
12454,56,1,3528.34,3528.34,53.0,WOODEN FRAME ANTIQUE WHITE ,10,1.0,0.0,0
12455,73,6,2466.86,411.1433333333334,44.2,POSTAGE,2,0.0,0.0,0
12456,44,3,3181.04,1060.3466666666666,104.5,MEDIUM MEDINA STAMPED METAL BOWL ,7,0.312,0.36,0
12457,66,7,2363.23,337.6042857142857,28.166666666666668,POSTAGE,9,0.016129032258064516,0.0,0
12458,71,2,947.4,473.7,213.0,LUNCH BAG CARS BLUE,2,0.0,0.0,0
12461,94,2,826.88,413.44,60.0,ASSORTED COLOUR BIRD ORNAMENT,7,0.0,0.0,0
12462,19,2,1189.59,594.795,284.0,LARGE CAKE STAND  HANGING STRAWBERY,2,0.3548387096774194,0.0,0
12463,53,4,1344.78,336.195,62.0,ROUND SNACK BOXES SET OF4 WOODLAND ,6,0.26506024096385544,0.0,0
12464,10,8,1212.05,151.50625,42.285714285714285,POSTAGE,2,0.27586206896551724,0.0,0
12465,17,2,742.1899999999999,371.09499999999997,152.0,POSTAGE,6,0.44680851063829785,0.0,0
12468,188,2,729.5400000000001,364.77000000000004,128.0,POSTAGE,6,0.0,0.6842105263157895,0
12471,2,30,19788.65,659.6216666666667,12.172413793103448,POSTAGE,12,0.5337690631808278,0.0,0
12472,32,7,6572.11,938.8728571428571,55.666666666666664,POSTAGE,10,0.471976401179941,0.3333333333333333,0
12473,29,5,3928.0499999999997,785.6099999999999,40.25,Manual,10,0.6167664670658682,0.0,0
12474,17,18,7324.09,406.8938888888889,17.823529411764707,POSTAGE,10,0.4146919431279621,0.002369668246445498,0
12475,54,1,723.38,723.38,53.0,BUBBLEGUM RING ASSORTED,10,1.0,0.0,0
12476,16,11,6816.42,619.6745454545454,34.1,POSTAGE,11,0.45064377682403434,0.0,0
12477,23,6,13219.74,2203.29,55.4,FOUR HOOK  WHITE LOVEBIRDS,8,0.33666666666666667,0.0,0
