Recency,Frequency,Monetary,AOV,AvgGapDays,Cluster
39,16,5855.369071329837,365.96056695811484,42.53333333333333,0
5,23,10833.944357519502,471.04105902258704,27.045454545454547,2
22,25,8337.111790306917,333.4844716122767,27.333333333333332,2
159,19,5717.425917232438,300.91715353854937,27.0,1
19,12,3906.696296354512,325.5580246962093,54.90909090909091,0
6,20,7465.650524626046,373.2825262313023,34.63157894736842,2
4,18,5479.054894245328,304.3919385691849,39.05882352941177,0
6,25,6446.331958324843,257.85327833299374,28.458333333333332,2
34,18,4647.597038241828,258.1998354578793,31.352941176470587,0
3,17,6474.338334074349,380.8434314161382,43.25,0
13,16,6593.37248104972,412.0857800656075,44.666666666666664,0
36,9,3536.4728916883714,392.9414324098191,73.25,0
24,21,5782.244731877864,275.34498723227927,32.0,0
7,22,8112.469912660705,368.7486323936684,32.333333333333336,2
44,24,6962.722453717996,290.1134355715832,27.91304347826087,2
10,16,5374.19570797555,335.8872317484719,44.333333333333336,0
10,18,5892.692606588329,327.37181147712937,37.88235294117647,0
16,21,7277.040262200391,346.5257267714472,33.05,2
17,11,2084.8234403249844,189.52940366590767,65.9,0
68,21,6850.299675822023,326.2047464677154,28.05,2
27,20,5329.373397613987,266.4686698806994,35.31578947368421,0
29,22,5559.482460992861,252.70374822694822,28.523809523809526,0
25,21,7846.631960175406,373.64914096073363,32.9,2
46,14,6810.938239879708,486.4955885628363,44.92307692307692,0
98,14,6283.766093752566,448.84043526804044,38.46153846153846,1
1,23,6607.8685757921885,287.29863373009516,31.727272727272727,2
28,20,6287.14538104829,314.3572690524145,34.473684210526315,0
41,17,7658.977263067594,450.52807429809377,38.8125,2
24,12,3255.270864441635,271.2725720368029,58.54545454545455,0
42,24,7493.251336659118,312.2188056941299,27.130434782608695,2
9,29,8880.434239603814,306.221870331166,24.071428571428573,2
296,13,3674.258207475407,282.63524672887746,29.583333333333332,1
47,16,6515.255888291643,407.2034930182277,43.53333333333333,0
19,17,5024.79610922418,295.57624171906946,41.4375,0
16,18,5992.816992803053,332.9342773779474,39.23529411764706,0
7,18,5765.872141980613,320.3262301100341,31.470588235294116,0
2,20,6864.240814343615,343.21204071718074,35.36842105263158,2
43,26,7969.47898074622,306.5184223363931,25.56,2
36,25,5955.884682463931,238.23538729855724,27.583333333333332,2
3,23,6551.98942034766,284.86910523250697,31.636363636363637,2
48,20,5905.637374433803,295.28186872169016,30.36842105263158,0
41,22,6311.899397694782,286.90451807703556,27.38095238095238,2
170,13,2969.395407752019,228.4150313655399,42.916666666666664,1
6,12,2801.9110471931817,233.49258726609847,49.36363636363637,0
36,20,7004.595413217983,350.22977066089913,32.73684210526316,2
4,18,5763.270379324023,320.18168774022354,39.1764705882353,0
6,20,4130.702580984964,206.53512904924818,31.842105263157894,0
22,26,6427.803124166358,247.22319708332148,26.12,2
14,25,8231.533415925875,329.26133663703496,28.0,2
59,23,9759.396578320466,424.3215903617594,28.954545454545453,2
19,18,5708.065129706316,317.11472942812867,39.94117647058823,0
2,13,4569.579524570297,351.5061172746382,56.25,0
17,19,4370.546853619495,230.0287817694471,36.05555555555556,0
4,22,7143.590676749027,324.70866712495575,31.238095238095237,2
34,16,5010.016736868357,313.1260460542723,44.2,0
22,13,2736.898189942171,210.5306299955516,51.75,0
22,23,8056.725451056366,350.2924109154942,30.363636363636363,2
7,19,5810.819789777406,305.8326205146003,35.27777777777778,0
36,15,5184.618749065623,345.6412499377082,37.142857142857146,0
76,11,3531.56097436936,321.0509976699418,58.3,1
44,18,5635.442200735558,313.08012226308654,37.76470588235294,0
39,24,7411.995362362984,308.8331400984577,28.52173913043478,2
18,13,3832.5494321053193,294.81149477733226,54.25,0
121,20,5823.16222206935,291.1581111034675,28.0,1
7,27,6502.553100025511,240.83530000094487,26.076923076923077,2
55,23,8537.38469148469,371.19063876020397,27.818181818181817,2
29,13,4670.013171609098,359.23178243146907,43.916666666666664,0
11,15,6036.539448343382,402.43596322289216,48.57142857142857,0
12,16,4358.6315882219005,272.4144742638688,44.93333333333333,0
24,18,4090.1966895015316,227.23314941675176,35.88235294117647,0
28,30,11311.996750691409,377.0665583563803,22.96551724137931,2
102,23,7999.458734176993,347.80255365986926,26.818181818181817,2
17,20,5968.074560976464,298.4037280488232,31.894736842105264,0
87,17,6383.817421762342,375.5186718683731,36.5625,1
36,26,10550.029827084116,405.7703779647737,24.72,2
11,18,7471.284275487154,415.07134863817527,37.64705882352941,2
29,18,5911.024378565679,328.39024325364886,38.8235294117647,0
56,18,6697.802686961856,372.1001492756587,37.8235294117647,0
33,16,4419.842749054628,276.24017181591427,39.86666666666667,0
46,18,4444.562506356258,246.92013924201436,37.470588235294116,0
16,15,4233.529542600505,282.2353028400337,44.142857142857146,0
2,18,6307.828741507591,350.43493008375503,40.529411764705884,0
77,19,5365.531441155064,282.3963916397402,33.166666666666664,0
3,13,4427.191131370057,340.55316395154284,56.583333333333336,0
65,24,6226.801254304782,259.4500522626992,27.217391304347824,2
56,16,4615.79397786517,288.4871236165731,39.666666666666664,0
85,21,6624.4247378624295,315.4487970410681,29.8,2
7,17,5477.6926383740765,322.2172140220045,41.3125,0
35,16,6407.803907860483,400.4877442412802,43.266666666666666,0
26,14,3276.9766975625944,234.0697641116139,50.69230769230769,0
54,15,3689.9804223868496,245.99869482578998,42.07142857142857,0
19,15,5447.177899126418,363.1451932750945,43.0,0
1,18,5626.045450722553,312.5580805956974,37.705882352941174,0
59,17,5504.205857293756,323.77681513492684,35.125,0
35,11,5310.671694409708,482.788335855428,62.7,0
64,16,6384.012665990247,399.00079162439044,41.266666666666666,0
1,12,6228.516601709893,519.0430501424911,62.45454545454545,0
4,22,9359.778169394101,425.44446224518646,32.904761904761905,2
49,16,5862.877442828301,366.42984017676883,37.86666666666667,0
61,11,3731.291648274334,339.2083316613031,51.3,0
6,20,6097.05821624494,304.852910812247,36.0,0
53,18,5799.18788445535,322.1771046919639,37.8235294117647,0
10,23,6902.216090746879,300.09635177160345,30.181818181818183,2
67,23,6821.041931816017,296.56704051373987,27.318181818181817,2
73,16,3419.7922975458123,213.73701859661327,39.8,1
33,19,4996.512365266489,262.9743350140257,33.666666666666664,0
68,18,5083.235522231429,282.4019734573016,35.11764705882353,0
18,16,4970.769090317249,310.67306814482805,36.8,0
11,42,12432.637282236308,296.0151733865788,16.536585365853657,2
199,19,4825.589896279401,253.97841559365267,23.27777777777778,1
64,11,3260.761063915569,296.4328239923245,44.2,0
82,20,8168.084739888392,408.4042369944196,28.105263157894736,2
15,11,4489.8370364114235,408.1670033101294,62.5,0
122,13,6028.672747847541,463.74405752673397,47.25,1
226,17,3703.4611570391635,217.8506562964214,29.5625,1
2,34,11984.677621401892,352.49051827652625,20.393939393939394,2
16,24,6341.998025315419,264.2499177214758,29.0,2
7,19,8239.106102652731,433.6371632975122,36.05555555555556,2
25,15,5030.03205069591,335.335470046394,46.142857142857146,0
52,15,4813.459745498857,320.8973163665905,44.785714285714285,0
14,23,7639.473140121449,332.1510060922369,30.454545454545453,2
18,14,3475.30369198538,248.2359779989557,50.53846153846154,0
31,22,6551.538517408147,297.79720533673395,31.428571428571427,2
40,24,7165.38027771015,298.55751157125627,27.695652173913043,2
43,20,5688.084631066713,284.40423155333565,33.89473684210526,0
29,23,6911.442378230895,300.4974947056911,29.727272727272727,2
30,21,6529.274889264525,310.9178518697393,31.95,2
85,19,7362.255361804009,387.4871243054742,34.0,2
162,8,2300.454035907249,287.5567544884061,54.142857142857146,1
3,15,4701.90524596905,313.46034973127,46.57142857142857,0
7,38,10909.138091631641,287.0825813587274,18.54054054054054,2
43,20,7195.624820500008,359.78124102500044,27.57894736842105,2
15,21,4521.282171045683,215.29915100217536,29.45,0
31,20,6423.527349883794,321.1763674941897,35.1578947368421,0
64,19,7584.507625848619,399.1846118867694,32.94444444444444,2
87,12,4178.917427854847,348.2431189879039,51.54545454545455,1
10,20,6234.7163649183685,311.73581824591844,31.63157894736842,0
27,23,7849.020799869017,341.2617739073485,30.318181818181817,2
39,19,7381.23107162292,388.4858458748906,31.88888888888889,2
45,17,4419.893682001963,259.99374600011544,40.0,0
23,26,7716.565308679321,296.7909734107431,27.08,2
50,14,6099.115879053938,435.65113421813845,43.61538461538461,0
95,20,6578.368939518906,328.9184469759453,31.31578947368421,1
112,17,3713.295135064006,218.42912559200036,35.75,1
125,15,3872.0331440419086,258.13554293612725,37.785714285714285,1
1,30,6687.005811317225,222.90019371057417,23.517241379310345,2
121,11,2982.5271169631733,271.1388288148339,54.5,1
34,21,5372.29491117604,255.82356719885905,32.85,0
6,18,7602.588644052421,422.36603578069,40.411764705882355,2
7,24,6296.740201224364,262.36417505101514,29.91304347826087,2
51,19,6084.550569087416,320.2395036361798,34.05555555555556,0
13,25,8839.645271402807,353.5858108561123,24.916666666666668,2
70,14,4673.782153011783,333.84158235798446,47.84615384615385,0
23,18,4837.657225212736,268.7587347340409,37.05882352941177,0
13,20,5467.673305810566,273.38366529052826,36.05263157894737,0
19,18,5654.1065796706,314.11703220392224,39.0,0
101,15,4127.563635724877,275.17090904832514,39.214285714285715,1
9,17,5865.176173950915,345.01036317358324,43.0,0
11,20,8976.00843788689,448.80042189434454,33.10526315789474,2
15,13,3315.4089041889993,255.03145416838456,51.333333333333336,0
57,15,6220.559987814673,414.70399918764485,44.07142857142857,0
15,25,8549.553627187694,341.9821450875077,27.458333333333332,2
12,13,3185.9806386894084,245.0754337453391,54.833333333333336,0
31,26,5863.805140989601,225.5309669611385,25.72,2
9,21,5807.815993412277,276.56266635296555,34.5,0
20,16,5655.894945971571,353.4934341232232,44.333333333333336,0
3,17,6536.839227951824,384.5199545854014,42.4375,0
44,19,4016.210935585517,211.37952292555352,35.888888888888886,0
100,21,4277.912426379784,203.71011554189448,28.95,1
2,19,5763.132345321575,303.322755016925,34.94444444444444,0
24,30,9321.118625973053,310.70395419910176,22.482758620689655,2
46,24,8629.774872358019,359.57395301491744,27.695652173913043,2
5,20,5537.630728547447,276.88153642737234,35.63157894736842,0
30,20,4435.899600913452,221.7949800456726,34.94736842105263,0
4,25,10076.999507451343,403.0799802980537,27.666666666666668,2
1,20,5752.525184749046,287.6262592374523,35.0,0
17,23,5688.4854314861395,247.32545354287564,29.681818181818183,2
27,19,6555.2474425873725,345.01302329407224,36.55555555555556,0
2,17,4031.1635614776887,237.127268322217,42.0,0
265,6,1910.3843964041118,318.3973994006853,42.0,1
77,13,3939.392304709585,303.0301772853527,51.666666666666664,1
9,15,5138.568290058386,342.5712193372257,47.92857142857143,0
23,12,3968.086338073558,330.67386150612987,60.45454545454545,0
24,14,6006.6049608562325,429.0432114897309,50.38461538461539,0
44,19,6206.746913794231,326.6708901996964,31.27777777777778,0
11,19,6694.96723972913,352.36669682784895,35.611111111111114,0
71,8,3160.0670639335713,395.0083829916964,87.85714285714286,1
5,20,6434.50413224091,321.7252066120455,35.63157894736842,0
108,26,7574.906791670313,291.34256891039666,22.48,2
20,23,7611.802632637589,330.9479405494604,29.272727272727273,2
21,17,5207.4986134271085,306.3234478486534,37.5625,0
4,23,7726.394851062992,335.93021091578225,30.136363636363637,2
1,17,4208.324642003903,247.54850835317077,43.5625,0
6,22,6208.791907365293,282.21781397114967,32.23809523809524,2
11,25,9658.877147788075,386.35508591152296,28.416666666666668,2
